,session,subject,t,p,r,hatr,s_pre,s,a,impact,netw,Cash,Stocks,etas,r_shift,hatr_shift
0,2,2_A02,1,191.485915827136,0.6496440733333353,0.5877866649021186,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,,
1,2,2_A03,1,191.485915827136,0.6496440733333353,0.3715635564324824,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.5877866649021186,0.5877866649021186
2,2,2_A04,1,191.485915827136,0.6496440733333353,0.4054651081081637,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.3715635564324824,0.3715635564324824
3,2,2_A05,1,191.485915827136,0.6496440733333353,0.47200163190840794,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.4054651081081637,0.4054651081081637
4,2,2_A06,1,191.485915827136,0.6496440733333353,0.41871033485818465,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.47200163190840794,0.47200163190840794
5,2,2_B02,1,191.485915827136,0.6496440733333353,0.4054651081081637,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.41871033485818465,0.41871033485818465
6,2,2_B03,1,191.485915827136,0.6496440733333353,0.5306282510621703,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.4054651081081637,0.4054651081081637
7,2,2_B04,1,191.485915827136,0.6496440733333353,0.5306282510621703,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.5306282510621703,0.5306282510621703
8,2,2_B05,1,191.485915827136,0.6496440733333353,0.9932517730102832,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.5306282510621703,0.5306282510621703
9,2,2_B06,1,191.485915827136,0.6496440733333353,0.09531017980432477,-1.0,-1,0,0.583333333333333,0.0,100.0,0.0,0.06631074000000226,0.9932517730102832,0.9932517730102832
10,2,2_B07,1,191.485915827136,0.6496440733333353,0.6931471805599445,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.09531017980432477,0.09531017980432477
11,2,2_C01,1,191.485915827136,0.6496440733333353,0.31481073984003327,-1.0,1,1,0.583333333333333,0.0,0.0,0.522231619845479,0.06631074000000226,0.6931471805599445,0.6931471805599445
